year,payer,metric,value,source_url
2020,mvp_qhp,settlement_payment_usd,1063182,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2020,mvp_qhp,settlement_pct_tcoc,2.3,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicare,settlement_payment_usd,10026241,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicare,settlement_pct_tcoc,2,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicare,advanced_shared_savings_usd,8800000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicaid,settlement_payment_usd,4333465,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicaid,settlement_pct_tcoc,1.6,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicaid,fixed_payment_performance_usd,2790821,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,medicaid,combined_result_usd,7124287,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,bcbsvt_qhp,settlement_payment_usd,-50000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,bcbsvt_primary,settlement_payment_usd,-60000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2021,mvp_qhp,settlement_payment_usd,0,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicare,settlement_payment_usd,9574335,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicare,settlement_pct_tcoc,2,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicare,advanced_shared_savings_usd,9100000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicare,net_earned_after_advance_and_quality_usd,500000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicare,performance_below_target_usd,-20400000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicare,quality_score_pct,65.63,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicaid,settlement_payment_usd,6158305,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicaid,settlement_pct_tcoc,1.9,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicaid,fixed_payment_performance_usd,8678478,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicaid,combined_result_usd,14836783,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,medicaid,quality_score_pct,65,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,bcbsvt_qhp,settlement_payment_usd,0,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,bcbsvt_primary,settlement_payment_usd,-75000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,mvp_qhp,settlement_payment_usd,0,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/results-archives/
2022,mvp_qhp,actual_tcoc_vs_target_pct,3,https://gmcboard.vermont.gov/ACO/OneCareVermont
2023,medicare,settlement_payment_usd,12998498,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,medicare,settlement_pct_tcoc,2,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,medicare,advanced_shared_savings_usd,9500000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,medicaid,settlement_payment_usd,-464758,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,medicaid,settlement_pct_tcoc,-0.1,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,medicaid,fixed_payment_performance_usd,5758001,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,medicaid,combined_result_usd,5293243,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,mvp_qhp,settlement_payment_usd,0,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2023,bcbsvt,participation_status,withdrew_no_contract,https://vtdigger.org/2022/12/20/blue-cross-vermont-onecare/
2024,medicare,settlement_payment_usd,23819566,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2024,medicare,settlement_pct_tcoc,4,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2024,medicare,advanced_shared_savings_usd,10000000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2024,medicaid,settlement_payment_usd,,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2024,mvp_qhp,settlement_payment_usd,-450000,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2024,mvp_qhp,settlement_pct_tcoc,0.4,http://web.archive.org/web/20260521210410/https://www.onecarevt.org/aco-results/
2024,bcbsvt,participation_status,withdrawn,https://vtdigger.org/2022/12/20/blue-cross-vermont-onecare/
2018,medicaid,risk_corridor_pct_traditional,4,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicaid,risk_corridor_pct_traditional,2,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicaid,risk_corridor_expanded_upside_downside,1up_1down,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicare,risk_model_note,restructured_accrue_at_aco_level_covid_downside_reduced,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicare,risk_corridor_pct,2,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicaid,risk_corridor_pct_traditional,2,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicaid,risk_corridor_pct_expanded,1,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,mvp_qhp,risk_arrangement,upside_only,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,medicare,risk_corridor_pct,3,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,medicaid,risk_corridor_pct,3,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,all_payer,total_upside_risk_usd,26400000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,all_payer,total_downside_risk_usd,36400000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,all_payer,downside_risk_transferred_to_providers_usd,36400000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,all_payer,primary_care_downside_first_pmpm_usd,1.50,https://gmcboard.vermont.gov/ACO/OneCareVermont
2024,all_payer,net_reserve_usd,8400000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2018,all_payer,total_attributed_lives,109914,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2018,all_payer,attributed_share_of_eligible_pct,22,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2019,all_payer,total_attributed_lives,172000,https://vermontbiz.com/news/2021/june/30/gmcb-all-payer-model-scale-increased-over-67000-lives-2020-needs-more
2020,all_payer,total_attributed_lives_scale_count,223158,https://vermontbiz.com/news/2021/june/30/gmcb-all-payer-model-scale-increased-over-67000-lives-2020-needs-more
2020,all_payer,attributed_increase_over_prior_year,67000,https://vermontbiz.com/news/2021/june/30/gmcb-all-payer-model-scale-increased-over-67000-lives-2020-needs-more
2021,all_payer,total_attributed_lives,238000,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,all_payer,total_attributed_lives,259958,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2022,all_payer,attributed_share_of_eligible_pct,50,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicare,attributed_ffs_beneficiaries_aco_level,49337,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicare,vt_ffs_beneficiaries_instate_denominator,85792,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicaid,enrollees_added_expanded_attribution,28000,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,commercial,attributed_added_total,32000,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,bcbsvt_qhp,attributed_lives_approx,20838,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,mvp_qhp,attributed_added,9000,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2021,bcbsvt_selfinsured,state_employees_plan_added,13300,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2023,bcbsvt,lives_dropped_on_withdrawal,93000,https://vtdigger.org/2022/12/20/blue-cross-vermont-onecare/
2018,all_payer,scale_target_pct,36,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2018,all_payer,scale_actual_pct,22,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2018,medicare,scale_target_pct_provisional,60,https://gmcboard.vermont.gov/ACO/OneCareVermont
2018,medicare,scale_actual_pct_provisional,35,https://gmcboard.vermont.gov/ACO/OneCareVermont
2019,all_payer,scale_target_pct,50,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2019,medicare,scale_actual_pct_provisional,52,https://gmcboard.vermont.gov/ACO/OneCareVermont
2020,all_payer,scale_target_pct,58,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicare,scale_target_pct,79,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicare,scale_actual_pct_prospective,52,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2020,medicare,scale_actual_pct_concurrent,57,https://www.norc.org/content/dam/norc-org/pdf2024/VermontAllPayerModel-SecondEvalReportv2_1_4_23.pdf
2021,all_payer,scale_target_pct,62,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,all_payer,scale_target_pct,70,https://gmcboard.vermont.gov/ACO/OneCareVermont
2022,medicare,scale_target_pct,90,https://gmcboard.vermont.gov/ACO/OneCareVermont
2021,all_payer,cms_scale_enforcement,waived_2021_10_12,https://gmcboard.vermont.gov/ACO/OneCareVermont
2020,all_payer,primary_care_practices_threatened_exit_count,14,https://vtdigger.org/2020/08/25/independent-doctors-are-dropping-out-of-onecare-health-reform-effort/
2020,all_payer,primary_care_pmpm_prior_usd,3.25,https://vtdigger.org/2020/08/25/independent-doctors-are-dropping-out-of-onecare-health-reform-effort/
</content>
